fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
180,0315001,JRG Opole Lubelskie,KP PSP Opole Lubelskie,KW PSP Lublin,32250,0,1,0,2213,1156,23,2074,4,13,557102820,558,1,0,LUBELSKIE,opolski,0315001,21.96888889,51.14722222
181,0315001P1,PJRG Poniatowa,KP PSP Opole Lubelskie,KW PSP Lublin,24565,1,0,1,1981,996,0,0,0,0,276567141,277,1,0,0,0,0,0,0
182,0320001,JRG Świdnik,KP PSP Świdnik,KW PSP Lublin,45255,1,1,1,5486,3468,7,732,1,11,98843659,99,1,0,LUBELSKIE,świdnicki,0320001,22.70147222,51.22634722
183,0320001P1,PJRG Piaski,KP PSP Świdnik,KW PSP Lublin,25531,0,1,0,1807,934,3,732,1,1,443177781,444,1,0,0,0,0,0,0
184,0319001P1,PJRG Dęblin,KP PSP Ryki,KW PSP Lublin,23332,0,1,0,1963,947,0,0,0,0,189150125,190,1,0,0,0,0,0,0
185,0323001,JRG Zamość,KM PSP Zamość,KW PSP Lublin,118882,0,5,1,11338,8014,16,1242,2,9,1195900795,1196,2,0,LUBELSKIE,Zamość,0323001,23.26076944,50.72445
186,0302001,JRG Bełżyce,KM PSP Lublin,KW PSP Lublin,46033,1,1,2,3871,2808,7,352,0,6,498722657,499,2,0,LUBELSKIE,lubelski,0302001,22.28111111,51.17111111
187,0318001,JRG Radzyń Podlaski,KP PSP Radzyń Podlaski,KW PSP Lublin,57538,1,2,2,2464,1286,7,578,8,5,1023445681,1024,2,0,LUBELSKIE,radzyński,0318001,22.61826389,51.79098056
188,0312001,JRG Lubartów,KP PSP Lubartów,KW PSP Lublin,72577,1,2,1,4881,2756,9,1240,0,7,1038143464,1039,2,0,LUBELSKIE,lubartowski,0312001,22.58973333,51.48242778
189,0317001,JRG Puławy,KP PSP Puławy,KW PSP Lublin,96023,2,2,1,8113,4895,12,1862,2,9,840639844,841,2,0,LUBELSKIE,puławski,0317001,21.99065278,51.41491111
190,0311001,JRG Kraśnik,KP PSP Kraśnik,KW PSP Lublin,85337,1,2,2,7138,5110,9,998,4,13,983386407,984,4,0,LUBELSKIE,kraśnicki,0311001,22.24882778,50.92744167
191,1403001,JRG Bartoszyce,KP PSP Bartoszyce,KW PSP Olsztyn,46917,2,2,1,4488,1896,7,412,1,7,1200289363,1201,2,6,WARMIŃSKO-MAZURSKIE,bartoszycki,1403001,20.80258611,54.26220556
192,1404001,JRG Braniewo,KP PSP Braniewo,KW PSP Olsztyn,34290,1,2,1,3611,1385,11,599,3,9,1082515272,1083,1,9,WARMIŃSKO-MAZURSKIE,braniewski,1404001,19.82401667,54.38348611
193,1405001,JRG Działdowo,KP PSP Działdowo,KW PSP Olsztyn,61335,2,3,1,5863,3186,12,492,2,10,966714096,967,3,16,WARMIŃSKO-MAZURSKIE,działdowski,1405001,20.17557222,53.23278889
194,1408001,JRG Ełk,KP PSP Ełk,KW PSP Olsztyn,79052,3,3,1,7337,3255,10,1009,4,15,1048060562,1049,2,3,WARMIŃSKO-MAZURSKIE,ełcki,1408001,22.37927778,53.8309
195,1409001,JRG Giżycko,KP PSP Giżycko,KW PSP Olsztyn,52894,1,4,1,4955,2845,7,1036,4,10,1145491675,1146,4,0,WARMIŃSKO-MAZURSKIE,giżycki,1409001,21.78323333,54.03598611
196,1420001,JRG Gołdap,KP PSP Gołdap,KW PSP Olsztyn,22936,0,1,1,2218,1072,7,519,1,13,770942249,771,1,17,WARMIŃSKO-MAZURSKIE,gołdapski,1420001,22.29745,54.29888611
197,1410001,JRG Iława,KP PSP Iława,KW PSP Olsztyn,81881,1,3,1,7616,3524,7,821,1,6,1228931014,1229,3,0,WARMIŃSKO-MAZURSKIE,iławski,1410001,19.56995833,53.58926389
198,1411001,JRG Kętrzyn,KP PSP Kętrzyn,KW PSP Olsztyn,55528,1,2,0,752,730,7,542,0,5,1137997101,1138,2,11,WARMIŃSKO-MAZURSKIE,kętrzyński,1411001,21.38065833,54.07536389
199,1414001,JRG Nidzica,KP PSP Nidzica,KW PSP Olsztyn,30155,1,2,0,3445,1387,7,418,0,13,1071761567,1072,1,0,WARMIŃSKO-MAZURSKIE,nidzicki,1414001,20.41555556,53.35611111
200,1415001,JRG Nowe Miasto Lubawskie,KP PSP Nowe Miasto Lubawskie,KW PSP Olsztyn,45493,1,1,1,3107,1589,7,489,0,5,807914874,808,2,14,WARMIŃSKO-MAZURSKIE,nowomiejski,1415001,19.59388889,53.42722222
201,1416002,JRG Olecko,KP PSP Olecko,KW PSP Olsztyn,31486,0,1,0,2100,1071,7,672,2,10,853523677,854,1,0,WARMIŃSKO-MAZURSKIE,olecki,1416002,22.50133056,54.03400833
202,1418001,JRG Pisz,KP PSP Pisz,KW PSP Olsztyn,48050,1,4,0,5134,5134,7,547,1,10,1576547638,1577,4,10,WARMIŃSKO-MAZURSKIE,piski,1418001,21.79333056,53.63287778
203,1419001,JRG Szczytno,KP PSP Szczytno,KW PSP Olsztyn,63031,1,4,0,6149,2824,7,774,2,10,1819756000,1820,3,0,WARMIŃSKO-MAZURSKIE,szczycieński,1419001,20.98314722,53.55779722
204,1421001,JRG Węgorzewo,KP PSP Węgorzewo,KW PSP Olsztyn,21085,1,1,0,1701,633,7,362,0,7,736945887,737,1,18,WARMIŃSKO-MAZURSKIE,węgorzewski,1421001,21.74578333,54.21274167
205,1413001,JRG Mrągowo,KP PSP Mrągowo,KW PSP Olsztyn,45159,3,3,0,4954,2075,7,571,0,9,1027898593,1028,2,0,WARMIŃSKO-MAZURSKIE,mrągowski,1413001,21.30731667,53.86413889
